cycle number	Ecell/V	<I>/mA	time/s	
1.000000000000000E+000	2.3810130E-001	7.845584380176494E-001	1.401736566578911E+004
1.000000000000000E+000	2.3891020E-001	7.848784779427485E-001	1.401751766579633E+004
1.000000000000000E+000	2.3966002E-001	7.851864599154981E-001	1.401767066580360E+004
1.000000000000000E+000	2.4039403E-001	7.854908457946301E-001	1.401782366581087E+004
1.000000000000000E+000	2.4115548E-001	7.858195108573103E-001	1.401797566581809E+004
1.000000000000000E+000	2.4189076E-001	7.859747599313085E-001	1.401812766582530E+004
1.000000000000000E+000	2.4274291E-001	7.863246398504611E-001	1.401828166583262E+004
1.000000000000000E+000	2.4345915E-001	7.866384924696974E-001	1.401843366583984E+004
1.000000000000000E+000	2.4415539E-001	7.867802270280269E-001	1.401858566584706E+004
1.000000000000000E+000	2.4500947E-001	7.873178966674921E-001	1.401873966585437E+004
1.000000000000000E+000	2.4576026E-001	7.875963472161411E-001	1.401889166586159E+004
1.000000000000000E+000	2.4652849E-001	7.878119205964413E-001	1.401904366586881E+004
1.000000000000000E+000	2.4730317E-001	7.880788753441657E-001	1.401919766587613E+004
1.000000000000000E+000	2.4806429E-001	7.883976921526408E-001	1.401934966588335E+004
1.000000000000000E+000	2.4879473E-001	7.885863370059258E-001	1.401950166589057E+004
1.000000000000000E+000	2.4955313E-001	7.889713265585456E-001	1.401965466589783E+004
1.000000000000000E+000	2.5034246E-001	7.892340779025346E-001	1.401980766590510E+004
1.000000000000000E+000	2.5114715E-001	7.895672957410715E-001	1.401995966591232E+004
1.000000000000000E+000	2.5185791E-001	7.897274099569547E-001	1.402011166591954E+004
1.000000000000000E+000	2.5263226E-001	7.899872663603181E-001	1.402026566592685E+004
